ari.	claro.
abas.	habas.
abiha.	abeja.
abiyay.	avivar.
abril.	abril.
abugadu.	abogado.
abunu.	abono.
abusay.	abusar.
achalachiy.	adornar.
achalakuy.	adornarse.
achalasqa.	adornado.
achá.	ciertamente.
achaka.	juguete.
achákala.	abecedario.
achiku.	desnudo.
achikyay.	amanecer.
achikyay.	crepúsculo.
achikyay.	aclarar.
achikyay.	iluminar.
achka.	mucho.
achka.	mucha.
achka.	muchos.
achka.	muchas.
achka.	bastante.
achka.	abundante.
achka.	mucho.
achka.	varios.
achka.	demasiado.
achka.	cuantioso.
achka.	numeroso.
achka.	tanto.
achki.	luz.
achki.	claridad.
achki.	resplandor.
aqu.	arena.
araña.	araña.
ariq.	volcán.
aka.	excremento.
aka.	guano.
aka.	estiércol.
aka.	caca.
aka.	escoria.
akakichki.	estreñimiento.
akatanqa.	escarabajo.
akawara.	pañal.
akllanakuy.	elecciones.
akllay.	elegir.
akllay.	seleccionar.
akllay.	escoger.
akllay.	clasificar.
akllay.	separar.
aqllu.	tartamudo.
aqllu.	gago.
aklluy.	enmudecer.
aktiy.	extraer.
akuy.	masticar.
asnaq.	apestoso.
papa.	papa.
papa.	patata.
asnu.	burro.
asnu.	asno.
allin.	mejor.
allin.	bueno.
allin.	bien.
allin.	excelente.
allin.	sano.
allin.	muy bien.
allin qillqay.	ortografía.
allinyay.	reconciliarse.
allinyay.	curar.
allinyay.	amistarse.
alleq.	derecha.
allpa.	tierra.
allpa.	polvo.
allpa.	suelo.
allpa.	terreno.
alpaka.	alpaca.
allqamari.	cuervo.
allqo.	perro.
allqo.	perra.
allqo.	can.
allwi.	urdimbre.
ama.	no.
amachay.	defender.
amachay.	proteger.
amachay.	abogar.
amachay.	amparar.
amachay.	apaciguar.
amaku.	garrapata.
amaña.	ya no.
amaru.	culebra.
amaru.	serpiente.
amaru.	reptil.
amawta.	maestro.
amawta.	profesor.
Amachu.	prohibido.
ameq.	empalagoso.
amiy.	hostigarse.
amlla.	desabrido.
ampu.	alcohólico.
amu.	mudo.
amu.	callado.
ancha.	muy.
ancha.	demasiado.
ancha.	mucho.
ancha.	abundante.
ancha.	bastante.
anchiy.	suspirar.
anchiy.	gemir.
anchiy.	sollozar.
animal.	animal.
anka.	águila.
anka.	ave rapaz.
anka kay.	paz.
ankallay.	echarse.
ankallay.	tropezarse.
ankalli.	insurgente.
ankalli.	rebelde.
ankallikuy.	oponerse.
ankallikuy.	rebelarse.
ankallikuy.	sublevarse.
anku.	duro.
ankas.	azul.
ankas.	color azul.
anri.	cierto.
anri.	bueno.
anqusay.	convidar.
anqusay.	brindar.
anqusay.	libar.
anta.	cobre.
anta.	metal cobre.
antaqa.	rojizo.
anta sitwa.	julio.
Antawaylla.	Andahuaylas.
Anti.	Andes.
Anti.	los Andes.
anukay.	destetar.
anukchi.	menudo.
anyachiy.	amonestar.
anyachiy.	exhortar.
anyay.	ladrar.
anyay.	reñir.
anyay.	reprender.
anyay.	advertir.
anyay.	convencer.
añaka.	miel.
añaka.	golosina.
añaka.	caramelo.
añanqa.	hormiga.
añas.	zorrino.
añas.	zorrillo.
apachikuy.	enviar.
apachikuy.	encomienda.
apachikuy.	encargar.
apakuy.	llevate.
apamuy.	traer.
apay.	llevar.
apay.	conducir.
apay.	transportar.
apay.	portar.
apay.	trasladar.
api.	mazamorra.
api.	budin.
aptay.	agarrar.
aptay.	atrapar.
aptay.	coger.
apu.	poderoso.
apu.	supremo.
apu.	altisimo.
apu.	soberano.
apu.	líder.
apu.	señor.
apu.	deidad.
apu.	dios.
apusonqo.	engreído.
apusonqo.	envanecido.
apusonqo.	orgulloso.
apusonqo.	soberbio.
apuyaykuna.	riqueza.
apuyaykuna.	riquezas.
apyay.	aplastar.
aqalli.	intestinos.
aqalli.	intestino.
aqaruraykuna.	plagas.
aqaruway.	saltamontes.
aqaruway.	langosta.
aqchi.	gavilán.
aqta.	garrapata.
aqtuy.	vomitar.
aqtuy.	escupir.
aqo.	arena.
aqo.	cascajo.
aqo.	guijo.
aqa.	chicha.
araq.	sucio.
araway.	ahorcar.
araway.	colgar.
arí.	sí.
arinsa.	arriendo.
arinsa.	alquiler.
armay.	bañar.
armay.	bañarse.
armay.	lavar.
arwi.	adobe.
asikuy.	reirse.
asikuy.	sonreir.
asina willakuy.	anécdota.
asinda.	hacienda.
aseq.	risueño.
aseq.	burlon.
asiy.	risa.
asiy.	reír.
asiy.	reir.
asiy.	carcajada.
asnay.	apestar.
asnay.	oler.
asnay.	olfatear.
aspiy.	escarbar.
aspiy.	desenterrar.
aspiy.	cavar.
astawan.	además.
astawan.	demasiado.
astawan.	también.
astawan.	algo más.
astawan.	mucho más.
astay.	acarrear.
astay.	traer.
astay.	trasladar.
astay.	transportar.
astiy.	atizar.
asuka.	foca marina.
asuka.	foca.
asuka.	lobo marino.
asukar.	azúcar.
asuriy.	arrimarse.
asuriy.	alejarse.
asuy.	retirarse.
asuykuy.	acercarse.
asuykuy.	aproximarse.
asuykuy.	acudir.
asuykuy.	allegarse.
aswan pisi.	menos.
aswan pisi.	menor.
alma pampana.	panteón.
allqa.	blanquinegro.
allachiy.	cavar.
allachiy.	cosechar.
allachiy.	escarbar.
allichay.	reparar.
allichay.	arreglar.
allichay.	acomodar.
allichay.	adornar.
allichay.	componer.
allichay.	ordenar.
allichay.	acondicionar.
allichay.	conciliar.
ataka.	pata.
atichay.	llevar.
atika.	economía.
atipanakuy.	competencia.
atipanakuy.	competir.
atipanakuy.	disputarse.
atipanakuy.	porfiarse.
atuq.	astuto.
atuq.	zorro.
atuq china.	zorra.
ataw.	dicha.
ataw.	suerte.
atawchi.	distinguido.
atawchi.	notable.
atawchi.	importante.
ati.	fatalidad.
ati.	desgracia.
ati.	adversidad.
atipa.	victoria.
