abaspa tuktun.	flor de haba.
allqo aka.	caca de perro.
ama hinachu qawaq.	por favor.
ama hina kaspa.	por favor.
amawtata napaykuni.	saludos al maestro.
asinda wasi.	casa de hacienda.
¡Anchata agradisiyki!	¡Muchas Gracias!
¡Anchata agradisiykichik!	¡Muchas Gracias!
¡Allin punchaw!	Buenos días!
¡Allin suka!	¡Buenas tardes!
Allin tuta.	Buenas noches.
aycha kanka.	carne asada.
aycha thikti.	carne frita.
aychata manam mikunichu.	no como carne.
aychata mikuy.	come carne.
ayllu allpa.	tierra comunal.
ayllu llaqta.	comunidad indígena.
ayllumanta rimasun.	hablemos de la familia.
chaki pampa.	planta del pie.
chalamanta hamuni.	vengo de la costa.
challwa kanka.	pescado asado.
chanka chawpi.	entre piernas.
chasllasqa cheqankuna.	rectas paralelas.
chikchi misi.	gato moteado.
¡Chayqa allinmi!	¡Eso está bien!
chiri llaqta.	tierra fria.
chiriwanmi.	tengo frío.
cheqana yupa.	recta numérica.
cheqan kuchu.	ángulo recto.
cheqap suti.	nombre propio.
cheqap yachay.	conocimiento científico.
chuya ispiritu.	Espíritu Santo.
chumpi chukcha.	cabellos castaños.
chumpi chukcha.	cabello castaño.
chunka kamachiykuna.	los diez mandamientos.
chuqllu kuru.	gusano de maíz.
chuqllu tanta.	pan de maíz.
chuya uya.	cara limpia.
eqopa oqan.	oca de los antepasados.
gallu waqay.	anto del gallo.
¡Haku mikumusunchik!	¡vamos a comer!
¡Haku wasita!	¡vamos a la casa!
¡Haku mikumusunchik!	¡vámos a comer!
¡Haku wasita!	¡vámos a la casa
hamullayki!	¡vengo a visitarte!
¡Hararay!	¡Al diablo con él!
hataykachay.	tratar de levantarse.
hatun kuraka.	funcionario alto.
Hatun Pachakamaq.	Gran Dios Creador.
hatun papa.	papa grande.
hatun runa.	hombre grande.
hatun willana.	sistema de información.
hatun wasi.	casa grande.
hawka kawsay.	vivir en paz y tranquilidad.
hawanta.	por encima.
haykapitaq?	¿En qué tiempo?
hinaptin.	por consiguiente.
hinaptin.	por lo tanto.
Hukchu?	Cómo pues?
Huk kutikama!	¡Hasta la vista!
Huk kutikama!	¡Hasta luego!
Hukllawasqa Nasyunkuna.	Naciones Unidas.
huk nasyunkuna rimanakuy qawaq.	política exterior.
huknin.	uno de los dos.
huknin.	uno de los ellos.
hukninkunaqa.	los otros.
huk punchawkama.	hasta otro día.
huk punchawkama.	hasta luego.
¡Huk ratukama!	¡Hasta la vista!
¡Huk ratukama!	¡Hasta luego!
huktawan.	de nuevo.
huktawan.	otra vez.
Huñusqa Nasyunkuna.	Naciones Unidas.
inti tayta.	padre sol.
inti wata.	año solar.
inti lloqsiy.	salida del sol.
iskayninchik.	nosotros dos.
iskay-iskay.	de dos en dos.
iskay simipi yachay.	educación bilingüe.
Imaynataq kachkanki?	¿cómo estás?
